ID|Descrizione|RagSoc|Paese|ANCODICE|ANDESCRI
9559|JOINT 5X5 SUPER|RINALDIN|ITALIA|000124|RINALDIN S.R.L.
9560|JOINT 5X5 SUPER|RINALDIN|ITALIA|000124|RINALDIN S.R.L.
9561|JOINT 5X5 SUPER|PROART EUROPE|REP. CECA|000233|PROART EUROPE S.R.O-
9569|JOINT 5x5 SUPER|BRACA|SERBIA|000114|BRACA MILICEVIC
9572|JOINT 5x5 SUPER|VIDAL|SLOVENIA|000115|VIDAL D.O.O.
9558|JOINT 5X5 A|PASSARINI|ITALIA|000220|PASSARINI FRANCO SNC
9564|JOINT 5x5 A|DIGITECH|ITALIA|000056|DIGITECH SOLUZIONI di ZAVOLI DENNIS
9565|JOINT 5x5 A|DIGITECH|ITALIA|000056|DIGITECH SOLUZIONI di ZAVOLI DENNIS
9567|JOINT 5x5 A|AMR|PORTOGALLO|000304|AMR - ANTONIO MIRANDA ROQUE
9568|JOINT 5x5 A|RINALDIN|ITALIA|000124|RINALDIN S.R.L.
9570|JOINT 5x5 A|AVTOGRAF|BULGARIA|000096|AVTOGRAF LTD.
9571|JOINT 5x5 A|MARCHIGI|||MARCHIGIANO
9573|JOINT 5x5 A|RINALDIN|ITALIA|000124|RINALDIN S.R.L.
