ID|Descrizione|RagSoc|Paese| ANCODICE |ANDESCRI||||
1700441|A5|MOLDECOR|MESSICO|000062|MOLDECOR SA de CV||||
1700442|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1700443|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1700444|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1700446|A5|ACORN|IRLANDIA| 000048 |ACORN PICTURE FRAMING SUPPLIES LTD||||
1700448|A5|MOTTA|ITALIA|000001|BREVETTI MOTTA SRL||||
1800455|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1800456|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1800457|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1800458|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1800459|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1800460|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1800461|A5|MONSIEUR|TUNISIA|000077|MONSIEUR JAMEL BAANANOU - FRAMES CITY||||
1800463|A5|MOTTA|ITALIA|000001|BREVETTI MOTTA SRL||||
1800464|A5|AL1 SERVICE|FRANCIA| 000005 |AL1 SERVICE MAINTENANCE||||
1800468|A5|CROMATRY|INGHILTERRA|000084|CROMATRY LTD||||
1800476|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1800477|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1800912|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1901018|A5|TGS REPAIR|INGHILTERRA|000060|TGS REPAIRS LLP||||
1901019|A5|INTCO|CINA|000279|INTCO INTERNATIONAL (HK) CO., LIMITED||||
1901039|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1901040|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1901065|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1901066|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1901075|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1901076|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1901077|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1901084|A5|MOTTA|ITALIA|000001|BREVETTI MOTTA SRL||||
1901105|A5|CHAMTON|AUSTRALIA| 000035 |CHAMTON PTY LTD||||
2001071|A5|MAIN LINE|INGHILTERRA|000047|MAINLINE MOULDINGS LTD||||
2001072|A5|STETAS|GERMANIA|000287|STETAS GMBH||||
2001092|A5|STETAS|GERMANIA|000287|STETAS GMBH||||
2001094|A5|STETAS|GERMANIA|000287|STETAS GMBH||||
2001095|A5|WESSEX|INGHILTERRA|000254|WESSEX PICTURES - A.L. YOUNGER LTD||||
2001102|A5|TGS REPAIR|INGHILTERRA|000060|TGS REPAIRS LLP||||
2001115|A5|CHAMPTON|AUSTRALIA| 000035 |CHAMTON PTY LTD||||
21010016|A5|VELISTA|UKRAINA|000272|VELISTA ART LTD.||||
21010017|A5|CHAMTON|AUSTRALIA| 000035 |CHAMTON PTY LTD||||
21010018|A5 (A6 MEMO TS)|TGS REPAIR|INGHILTERRA|000060|TGS REPAIRS LLP||||
21010033|A5|APA POLSKA|POLONIA| 000098 |APA POLSKA SP. Z O.O. SPOLKA KOMANDYTOWA||||
21010034|A5|ARTBLOC|INGHILTERRA|000042|ARTBLOC COMPANY LTD||||
21010035|A5|RAMEX|SLOVENIA|000041|RAMEX a.s.||||
21010053|A5|SC FRAME DEPOT|ROMANIA|000344|SC FRAMES DEPOT SRL||||
21010054|A5|RAMEX|SLOVENIA|000041|RAMEX a.s.||||
21010066|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
21010067|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
21010097|A5|TGS REPAIRS|INGHILTERRA|000060|TGS REPAIRS LLC||||
21010098|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
21010099|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
21010100|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
21010101|A5|A+USA|USA|000006|A-PLUS AUTOMATION USA INC||||
21010102|A5|DANI|SPAGNA|000341|DANIEL VILLACORTA GALAN||||
21010103|A5|DANI|SPAGNA|000341|DANIEL VILLACORTA GALAN||||
21010104|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
21010123|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
21010124|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1500281|A6|DIMITRY|LITUANIA|000032|"UAB ""GEISTE"""||||
1500285|A6|CENTRO CORNICI|ITALIA - VERONA||???||||
1500290|A6|CS CAPPELLINI|ITALIA|000014|C.S. DI CAPPELLINI GIANLUIGI & C. SNC||||
1600283|A6|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
